Population,1800,1800,24.937
Population,1810,1810,33.787
Population,1820,1820,43.298
Population,1830,1830,61.392
Population,1840,1840,93.383
Population,1850,1850,136.881
Population,1860,1860,177.82
Population,1870,1870,250.526
Population,1880,1880,362.839
Population,1890,1890,448.477
Population,1900,1900,560.892
Landmaking,1802,1802,First attempt at filling the neck falters
Landmaking,1804,1804,Front St/Harrison Ave
Landmaking,1805,1805,India Wharf
Landmaking,1805,1805,Broad st
Landmaking,1806,1806,Charles St
Landmaking,1807,1807,Mill Pond -> Bulfinch Triangle (completed 1828)
Landmaking,1807,1807,Independence Wharf
Landmaking,1817,1817,Central Wharf
Landmaking,1821,1821,Mill Dam (Beacon St)
Landmaking,1823,1823,Fill for Quincy Market
Landmaking,1825,1825,Church St area
Landmaking,1826,1826,Bay Village fill
Landmaking,1827,1827,W 4th st area. South Boston
Landmaking,1833,1833,East Boston fill begins
Landmaking,1833,1833,South Cove begins
Landmaking,1834,1834,Public Garden Fill
Landmaking,1836,1836,Castle Sq
Landmaking,1837,1837,Custom House fill
Landmaking,1838,1838,West End west of Brighton St
Landmaking,1843,1843,South Cove completed
Landmaking,1845,1845,South Bay fill begins
Landmaking,1848,1848,South End fill
Landmaking,1850,1850,Docks filled on waterfront
Landmaking,1852,1852,Commission appointed to study Back Bay filling
Landmaking,1854,1854,South Bay and Fort Point filling
Landmaking,1857,1857,Back Bay Construction begins
Landmaking,1859,1859,Fill completed to Berkeley St
Landmaking,1860,1860,Fill completed to Clarendon St
Landmaking,1860,1860,Charlestown filling begins
Landmaking,1861,1861,Albany St extension begins
Landmaking,1862,1862,MGH flats filled
Landmaking,1865,1865,East side of South Bay 
Landmaking,1868,1868,Albany St extension complete
Landmaking,1870,1870,Fill completed to Exeter St
Landmaking,1870,1870,Flats around MGH completely filled
Landmaking,1872,1872,Atlantic Avenue
Landmaking,1872,1872,Fan Pier filling begins
Landmaking,1875,1875,Prison Point Bay filled
Landmaking,1878,1878,Fan Pier complete
Landmaking,1882,1882,South Boston flats project begins
Landmaking,1883,1883,Charlesbank
Landmaking,1883,1883,T-Wharf
Landmaking,1886,1886,Receiving Basin portion of Back Bay completely filled
Landmaking,1888,1888,South Boston flats project completed
Landmaking,1889,1889,Bay State Road area
Landmaking,1889,1889,Northern Avenue section of South Boston flats begins
Landmaking,1902,1902,Charles River Dam
Landmaking,1902,1903,Filling for Columbia Rd and Day Blvd completed
Landmaking,1911,1911,Cambridge MIT fill???
Landmaking,1915,1915,East Boston flats filling begins for shipping terminal but eventually houses airport
Landmaking,1917,1917,Old Harbor Beach in South Boston
Landmaking,1921,1921,South Bay west of Dot Ave
Landmaking,1933,1933,Esplanade Widened
Landmaking,1938,1938,Deer Island connected to Winthrop as result of the Great New England Hurricane
Landmaking,1948,1948,Airport?
City Boundaries,1804,1804,South Boston
City Boundaries,1807,1807,Brighton leaves Cambridge
City Boundaries,1813,1813,When did Everett get moved??
City Boundaries,1825,1825,Stoneham secedes from Charlestown
City Boundaries,1834,1834,Thompson Island. taken from Dorchester
City Boundaries,1838,1838,1800 acres along Charles River ceded from Newton to Roxbury
City Boundaries,1842,1842,Somerville seperates from Charlestown
City Boundaries,1846,1846,North Chelsea
City Boundaries,1851,1851,West Roxbury (incl. Jamaica Plain and Roslindale) secedes from Roxbury. fearing annexation to Boston
City Boundaries,1855,1855,Andrew Square. annexed from Dorchester
City Boundaries,1856,1856,Boston voters reject annexation of Chelsea
City Boundaries,1857,1857,Chelsea incorporated as a city
City Boundaries,1867,1867,Eastern part of Brighton named Allston
City Boundaries,1868,1868,"Roxbury annexed to Boston, Hyde Park incorporated from land ceded by Dedham. Dorchester and Milton"
City Boundaries,1870,1870,Dorchester (incl Mattapan); Kenmore Sq annexed from Brookline to Boston; Roslindale named in West Roxbury; Everett leaves Malden
City Boundaries,1871,1871,North Chelsea
City Boundaries,1872,1872,Mt Hope Cemetary area of West Roxbury
City Boundaries,1874,1874,Charlestown. Brighton. West Roxbury (incl JP and Roslindale) annexed; Brookline refuses but cedes land along Com Ave
City Boundaries,1881,1881,when does cambridge propose/reject?
City Boundaries,1891,1891,Medford Incorporates as City
City Boundaries,1892,1892,Everett Incorporates as City
City Boundaries,1912,1912,Hyde Park
City Boundaries,1986,1986,"First ""Mandela"" secession attempt (fails again in 1988 and 1990)"
Clearance,1803,1803,Mount Vernon (Mt Whoredom)
Clearance,1824,1824,Eminent domain used for renewal of Faneuil Hall area
Clearance,1835,1835,Pemberton Hill
Clearance,1866,1872,Fort Hill
Clearance,1871,1871,Demolition of Scollay Building leaves space known as Scollay Square
Clearance,1872,1872,Great Boston fire destroys 776 buildings on 65 acres downtown
Clearance,1892,1892,Slum clearance begins under Mayor Quincy. 230 buildings demolished
Clearance,1908,1908,Great Chelsea fire destroys 492 acres. displaces Jewish community
Clearance,1947,1947,BHA announces New York Streets urban renewal
Clearance,1949,1949,Congress passes Title 1 of Federal Housing Act. spurring urban renewal projects
Clearance,1951,1951,Central Artery demolition
Clearance,1952,1952,Chester Sq in South End demolished for Mass Ave widening
Clearance,1958,1958,West End Demolition
Clearance,1959,1959,Gov't Center plan released
